# Default POI-Arten (eine pro Zeile)
AH
AKIP
AKIP1
AKIP2
AmbKH
Arena
Bahnlinie
Bahnübergang
Bank
Bauernhof
Bereitschaft
BHF
BW
Blut
Brücke
Dialyse
Disko
Feuerwehr
FKH
Flucht
Flughafen
FlugKH
Flugplatz
Freibad
Friedhof
Fußball
FZPark
Gasthaus
Grundschule
GKH
Hafen
Hallenbad
HBF
Herz
IKH
Industrie
Juhe
JVA
Kaufhaus
KH
KH1
KH2
KH3
KiKa
KiKli
Kirche
Kultur
Küste
Lst
Lunge
Notfallpraxis
Ortho
Park
Polizei
Psychiatrie
Reha
Reiterhof
RW
SBF
Schleuse
Schloss
Schule
See
Sporthalle
Strahlen
Tankstelle
Tropen
UBF
Tunnel
UKH
Wald
Zelt
Zoo
